customer_id,first_name,last_name,gender,email,phone_number,date_of_birth,address,city,state,zip_code,country,registration_date,loyalty_tier,total_spent
1,Jessica,Hall,Other,danielledavis@williams.com,4443403349,2007-06-07,698 Eric Valley Apt. 427,Ryanland,Wyoming,71500,Venezuela,2022-08-09,Silver,36360.98
2,Sarah,Mendoza,Female,maryharris@lozano.com,4296015308,1991-05-09,6630 Moyer Ways Suite 220,Gonzalezbury,Iowa,12984,Egypt,2024-05-13,Platinum,45702.62
3,Heather,Reyes,Male,daniel65@gmail.com,4081730759,1974-10-20,51428 Kristine Ford,West Bruce,Arizona,13262,Egypt,2023-02-13,Silver,45698.47
4,Dillon,Henry,Female,katrina17@hinton-alexander.net,4865071847,1960-04-19,78407 Robert Squares Suite 631,Kingfurt,Vermont,86436,Faroe Islands,2023-01-04,Bronze,15978.67
5,Rachel,Perkins,Female,murraydorothy@johnson.com,4361900944,1969-10-12,641 Lowery Radial,Larsonview,Alaska,81322,Yemen,2023-06-13,Platinum,4970.48
6,Linda,Matthews,Male,charlesbell@carlson.com,4010099973,1976-07-17,529 Nunez Harbor,North Ellentown,Texas,69215,French Southern Territories,2022-08-30,Gold,35422.4
7,Frederick,Barker,Other,graycory@gmail.com,4748225834,1967-07-27,8882 Thomas Locks,Shelbyburgh,Connecticut,89220,Vanuatu,2023-01-13,Platinum,5564.91
8,Hunter,Watkins,Male,dreed@taylor.biz,4287265179,1983-08-27,56603 Robinson Shoals Suite 274,New Henrystad,Ohio,42421,Slovakia,2022-08-24,Bronze,9715.6
9,Brad,Wilson,Male,aaronmeyer@gmail.com,4663517464,1965-05-03,836 Lee Shoals,Port Christine,Pennsylvania,4198,Japan,2025-05-27,Bronze,38931.85
10,Deanna,Larson,Other,stewartmark@hooper.com,4261737877,1959-12-23,52536 Hardin Lane,Mclaughlinstad,Iowa,34179,Liberia,2023-05-20,Silver,40646.88
